"","X","Job.title","role.happiness","roadmap.happiness","roadmap.DEEPScore","roadmap.mat_level","roadmap.tools","office","product","project","custom"
"58",58,"Product Manager",3,4,80,4,"ATLASSIAN: Jira/Confluence",FALSE,FALSE,TRUE,FALSE
"59",59,"Lead Product Manager",4,4,82,4,"ATLASSIAN: Jira/Confluence",FALSE,FALSE,TRUE,FALSE
"60",60,"Senior Product Manager",3,4,49,3,"PRODPAD: ProdPad",FALSE,TRUE,FALSE,FALSE
"61",61,"Head of Product/VP/Director/CPO",4,4,27,2,"PRODPAD: ProdPad",FALSE,TRUE,FALSE,FALSE
"62",62,"CEO",5,4,52,3,"Kitemaker",FALSE,FALSE,FALSE,FALSE
"63",63,"Senior Product Manager",4,4,48,3,"ATLASSIAN: Jira/Confluence;GOOGLE: Google Sheets",TRUE,FALSE,TRUE,FALSE
"64",64,"Product Manager",3,2,85,5,"PRODUCTBOARD: Productboard",FALSE,TRUE,FALSE,FALSE
"65",65,"Product Marketing Manager",5,3,61,4,"MICROSOFT: Excel",TRUE,FALSE,FALSE,FALSE
"66",67,"Associate/Junior Product Manager",4,3,36,3,"GOOGLE: Google Sheets",TRUE,FALSE,FALSE,FALSE
"67",68,"Associate/Junior Product Manager",NA,3,9,1,"AHA LABS: AHA!;PRODUCTBOARD: Productboard",FALSE,TRUE,FALSE,FALSE
"68",69,"Lead Product Manager",4,4,89,5,"ATLASSIAN: Jira/Confluence;GOOGLE: Google Sheets",TRUE,FALSE,TRUE,FALSE
"69",70,"Engineering Manager",5,3,36,3,"In-house solution",FALSE,FALSE,FALSE,TRUE
"70",71,"Head of Product/VP/Director/CPO",4,4,51,3,"GOOGLE: Google Sheets;Clubhouse",TRUE,FALSE,FALSE,FALSE
"71",72,"Associate/Junior Product Manager",3,5,82,4,"ATLASSIAN: Jira/Confluence;GOOGLE: Google Sheets;PRODUCTBOARD: Productboard",TRUE,TRUE,TRUE,FALSE
